title,brand,price,review
"Unhas Autoadesivas Média Eclipse Black- Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Média Magic Black- Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Curta Mahogany Red - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Curta Martin Orange - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Médio Martin Orange - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Curta Reddish Black - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Média Snow White - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Média Tea Brown - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Caneta Delineadora Líquida Nano - Absolute New York,absolute_new_york,""R$ 45,90"",0/5"
"Caneta Delineadora Líquida Shape & Define - Absolute New York,absolute_new_york,""R$ 51,90"",0/5"
"Pincel para Pó - Absolute New York,absolute_new_york,""R$ 45,90"",0/5"
"Pincel para Iluminador - Absolute New York,absolute_new_york,""R$ 45,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 201 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 202 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 203 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 204 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 206 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 207 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 208 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 210 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 001 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 004 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 007 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 008 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 009 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 010 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 011 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 012 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 013 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 014 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 015 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 016 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 017 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Super Soft Garnet 301 - Absolute New York x InstaBeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Super Soft Garnet 302 - Absolute New York x InstaBeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Super Soft Garnet 303 - Absolute New York x InstaBeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Super Soft Garnet 304 - Absolute New York x InstaBeauty,absolute_new_york,""R$ 24,90"",0/5"
Unhas Autoadesivas Média Burgundy Red- Absolute New York x InstaBeauty,absolute_new_york,,0/5
Unhas Autoadesivas Média Chocolate Bronw - Absolute New York x InstaBeauty,absolute_new_york,,0/5
",absolute_new_york,""R$ 22,90"","
",absolute_new_york,""R$ 22,90"","
",absolute_new_york,""R$ 22,90"","
Desodorante Cristal Stick Vegano Natural 60g - Alva,alva-personal-care,,5-May
Desodorante Spray Cristal Natural Lavanda Vegano 120ml - Alva,alva-personal-care,,0/5
Desodorante Cristal Stick Vegano 120g - Alva,alva-personal-care,,5-May
Raspador de Língua de Cobre - Alva,alva-personal-care,,5-May
Desodorante Stick Infantil Camomila Vegano 33g - Alva,alva-personal-care,,5-May
Protetor Solar Natural FPS 45 Stick Sem Cor - Alva,alva-personal-care,,5-May
Desodorante Spray Cristal Natural Sem Perfume Vegano 120ml - Alva,alva-personal-care,,5-May
Balm Natural FPS 45 Base Protetor em Stick com Cor 16,5g - Alva,alva-personal-care,,5-May
",alva-personal-care,""R$ 22,90"","
",alva-personal-care,""R$ 22,90"","
",alva-personal-care,""R$ 22,90"","
"Iluminador Compacto - Cor 040 - Bauny Cosméticos,bauny_cosmeticos,""R$ 49,90"",0/5"
"Pó Compacto FPS25 - Cor 070 - Bauny Cosméticos,bauny_cosmeticos,""R$ 37,90"",0/5"
"Pó Compacto FPS25 - Cor 080 - Bauny Cosméticos,bauny_cosmeticos,""R$ 37,90"",0/5"
"Paleta de Sombras - Basic - Bauny Cosméticos,bauny_cosmeticos,""R$ 49,90"",0/5"
Base Líquida Matte FPS25 - Cor 100 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Base Líquida Matte FPS25 - Cor 110 - Bauny Cosméticos,bauny_cosmeticos,,0/5
Base Líquida Matte FPS25 - Cor 120 - Bauny Cosméticos,bauny_cosmeticos,,0/5
"Pó Compacto FPS25 - Cor 120 - Bauny Cosméticos,bauny_cosmeticos,""R$ 37,90"",0/5"
"Pó Solto Facial - Cor 030 - Bauny Cosméticos,bauny_cosmeticos,""R$ 49,90"",0/5"
"Gloss Hidra Luminous 3D - Blossom Glow - Bauny Cosméticos,bauny_cosmeticos,""R$ 39,90"",0/5"
"Gloss Hidra Luminous 3D - Chic Glow - Bauny Cosméticos,bauny_cosmeticos,""R$ 39,90"",0/5"
"Gloss Hidra Luminous 3D - Choco Glow - Bauny Cosméticos,bauny_cosmeticos,""R$ 39,90"",0/5"
"Gloss Hidra Luminous 3D - Peach Glow - Bauny Cosméticos,bauny_cosmeticos,""R$ 39,90"",0/5"
"Gloss Hidra Luminous 3D - Ruby Glow - Bauny Cosméticos,bauny_cosmeticos,""R$ 39,90"",0/5"
"Gloss Vinil - Coral Be Funny - Bauny Cosméticos,bauny_cosmeticos,""R$ 39,90"",0/5"
"Gloss Vinil - Incolor Be Glossy - Bauny Cosméticos,bauny_cosmeticos,""R$ 39,90"",0/5"
"Gloss Vinil - Malva Clássico Be You - Bauny Cosméticos,bauny_cosmeticos,""R$ 39,90"",0/5"
"Gloss Vinil - Nude Caramelo Be Free - Bauny Cosméticos,bauny_cosmeticos,""R$ 39,90"",0/5"
"Gloss Vinil - Rosa Fucsia Be Crazy - Bauny Cosméticos,bauny_cosmeticos,""R$ 39,90"",0/5"
"Lápis Delineador de Lábios Rosa - Bauny Cosméticos,bauny_cosmeticos,""R$ 29,90"",0/5"
"Lápis Delineador de Lábios Vermelho - Bauny Cosméticos,bauny_cosmeticos,""R$ 29,90"",0/5"
"Lápis Delineador de Lábios Vinho - Bauny Cosméticos,bauny_cosmeticos,""R$ 29,90"",0/5"
Base Líquida Matte FPS25 - Cor 030 - Bauny Cosméticos,bauny_cosmeticos,,0/5
